circuit_id,circuit_full_name_display,layout_display,circuit_full_name_normalized,layout_normalized,local_address,latitude_dd,longitude_dd,country_id,layout_length_m,alt_circuit_full_name_display
77,Autódromo Jorge Ángel Pena,Exterior circuit,autodromo_jorge_angel_pena,exterior_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,,
78,Autódromo Jorge Ángel Pena,Short exterior circuit,autodromo_jorge_angel_pena,short_exterior_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,,
79,Autódromo Jorge Ángel Pena,Intermediate circuit,autodromo_jorge_angel_pena,intermediate_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,,
80,Autódromo Jorge Ángel Pena,Medium circuit,autodromo_jorge_angel_pena,medium_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,,
81,Autódromo Jorge Ángel Pena,Short circuit,autodromo_jorge_angel_pena,short_circuit,"Autódromo Jorge Angel Pena, San Martin, Mendoza, Argentina",-33.0860235,-68.467567,ARG,,
82,Autódromo Monterrey,Full Circuit,autodromo_monterrey,full_circuit,"Autódromo Monterrey, Carr. México-Laredo Km 1008, Cd Apodaca, N.L., Mexico",25.86002278,-100.2201008,MEX,3200,Autódromo Apodaca
83,Autódromo Monterrey,'El Frijol' oval,autodromo_monterrey,el_frijol_oval,"Autódromo Monterrey, Carr. México-Laredo Km 1008, Cd Apodaca, N.L., Mexico",25.86002278,-100.2201008,MEX,1600,Autódromo Apodaca
84,Autódromo Rosendo Hernández,Autodromo Rosendo Hernández,autodromo_rosendo_hernandez,autodromo_rosendo_hernandez,"Autódromo de San Luis, San Luis, Argentina",-33.3289306,-66.3886843,ARG,4500,
85,Autódromo San Nicolás,Main circuit,autodromo_san_nicolas,main_circuit,"Predio Ferial y Autódromo San Nicolás Ciudad, Autopista N° 9 Buenos Aires- Rosario Km 225, Argentina",-31.3271817,-64.2521789,ARG,4000,
86,Autódromo San Nicolás,Short circuit,autodromo_san_nicolas,short_circuit,"Predio Ferial y Autódromo San Nicolás Ciudad, Autopista N° 9 Buenos Aires- Rosario Km 225, Argentina",-31.3271817,-64.2521789,ARG,,
87,Autódromo San Nicolás,Outer circuit,autodromo_san_nicolas,outer_circuit,"Predio Ferial y Autódromo San Nicolás Ciudad, Autopista N° 9 Buenos Aires- Rosario Km 225, Argentina",-31.3271817,-64.2521789,ARG,,
